Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1013326,-,-,-,29.69,-82.34,-5,56,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI
2014,1,6,1,30,0,0
2014,1,6,2,0,0,0
2014,1,6,2,30,0,0
2014,1,6,3,0,0,0
2014,1,6,3,30,0,0
2014,1,6,4,0,0,0
2014,1,6,4,30,0,0
2014,1,6,5,0,0,0
2014,1,6,5,30,0,0
2014,1,6,6,0,0,0
2014,1,6,6,30,0,0
2014,1,6,7,0,0,0
2014,1,6,7,30,0,0
2014,1,6,8,0,33,308
2014,1,6,8,30,11,0
2014,1,6,9,0,23,0
2014,1,6,9,30,40,0
2014,1,6,10,0,105,0
2014,1,6,10,30,224,126
2014,1,6,11,0,253,124
2014,1,6,11,30,181,3
2014,1,6,12,0,280,92
2014,1,6,12,30,246,428
2014,1,6,13,0,290,145
2014,1,6,13,30,229,23
2014,1,6,14,0,245,62
2014,1,6,14,30,96,0
2014,1,6,15,0,136,0
2014,1,6,15,30,113,0
2014,1,6,16,0,89,597
2014,1,6,16,30,73,493
2014,1,6,17,0,45,395
2014,1,6,17,30,16,133
2014,1,6,18,0,0,0
2014,1,6,18,30,0,0
2014,1,6,19,0,0,0
2014,1,6,19,30,0,0
2014,1,6,20,0,0,0
2014,1,6,20,30,0,0
2014,1,6,21,0,0,0
2014,1,6,21,30,0,0
2014,1,6,22,0,0,0
2014,1,6,22,30,0,0
2014,1,6,23,0,0,0
2014,1,6,23,30,0,0
2014,1,7,0,0,0,0
2014,1,7,0,30,0,0
2014,1,7,1,0,0,0
2014,1,7,1,30,0,0
2014,1,7,2,0,0,0
2014,1,7,2,30,0,0
2014,1,7,3,0,0,0
2014,1,7,3,30,0,0
2014,1,7,4,0,0,0
2014,1,7,4,30,0,0
2014,1,7,5,0,0,0
2014,1,7,5,30,0,0
2014,1,7,6,0,0,0
2014,1,7,6,30,0,0
2014,1,7,7,0,0,0
2014,1,7,7,30,0,0
2014,1,7,8,0,35,106
2014,1,7,8,30,43,707
2014,1,7,9,0,51,817
2014,1,7,9,30,58,884
2014,1,7,10,0,61,932
2014,1,7,10,30,65,962
2014,1,7,11,0,67,984
2014,1,7,11,30,68,997
2014,1,7,12,0,70,1004
2014,1,7,12,30,70,1007
2014,1,7,13,0,73,998
2014,1,7,13,30,72,990
2014,1,7,14,0,71,976
2014,1,7,14,30,69,954
2014,1,7,15,0,67,919
2014,1,7,15,30,62,876
2014,1,7,16,0,57,809
2014,1,7,16,30,48,716
2014,1,7,17,0,37,556
2014,1,7,17,30,27,0
2014,1,7,18,0,0,0
2014,1,7,18,30,0,0
2014,1,7,19,0,0,0
2014,1,7,19,30,0,0
2014,1,7,20,0,0,0
2014,1,7,20,30,0,0
2014,1,7,21,0,0,0
2014,1,7,21,30,0,0
2014,1,7,22,0,0,0
2014,1,7,22,30,0,0
2014,1,7,23,0,0,0
2014,1,7,23,30,0,0
2014,1,8,0,0,0,0
2014,1,8,0,30,0,0
2014,1,8,1,0,0,0
2014,1,8,1,30,0,0
2014,1,8,2,0,0,0
2014,1,8,2,30,0,0
2014,1,8,3,0,0,0
2014,1,8,3,30,0,0
2014,1,8,4,0,0,0
2014,1,8,4,30,0,0
2014,1,8,5,0,0,0
2014,1,8,5,30,0,0
2014,1,8,6,0,0,0
2014,1,8,6,30,0,0
2014,1,8,7,0,0,0
2014,1,8,7,30,0,0
2014,1,8,8,0,27,0
2014,1,8,8,30,64,0
2014,1,8,9,0,115,138
2014,1,8,9,30,33,0
2014,1,8,10,0,160,12
2014,1,8,10,30,205,41
2014,1,8,11,0,252,135
2014,1,8,11,30,180,2
2014,1,8,12,0,174,0
2014,1,8,12,30,285,86
2014,1,8,13,0,284,91
2014,1,8,13,30,265,301
2014,1,8,14,0,261,193
2014,1,8,14,30,229,255
2014,1,8,15,0,206,131
2014,1,8,15,30,141,5
2014,1,8,16,0,87,0
2014,1,8,16,30,83,2
2014,1,8,17,0,40,449
2014,1,8,17,30,17,180
2014,1,8,18,0,0,0
2014,1,8,18,30,0,0
2014,1,8,19,0,0,0
2014,1,8,19,30,0,0
2014,1,8,20,0,0,0
2014,1,8,20,30,0,0
2014,1,8,21,0,0,0
2014,1,8,21,30,0,0
2014,1,8,22,0,0,0
2014,1,8,22,30,0,0
2014,1,8,23,0,0,0
2014,1,8,23,30,0,0
2014,1,9,0,0,0,0
2014,1,9,0,30,0,0
2014,1,9,1,0,0,0
2014,1,9,1,30,0,0
2014,1,9,2,0,0,0
2014,1,9,2,30,0,0
2014,1,9,3,0,0,0
2014,1,9,3,30,0,0
2014,1,9,4,0,0,0
2014,1,9,4,30,0,0
2014,1,9,5,0,0,0
2014,1,9,5,30,0,0
2014,1,9,6,0,0,0
2014,1,9,6,30,0,0
2014,1,9,7,0,0,0
2014,1,9,7,30,0,0
2014,1,9,8,0,8,0
2014,1,9,8,30,59,448
2014,1,9,9,0,71,0
2014,1,9,9,30,122,0
2014,1,9,10,0,165,18
2014,1,9,10,30,106,0
2014,1,9,11,0,247,86
2014,1,9,11,30,251,49
2014,1,9,12,0,284,101
2014,1,9,12,30,66,0
2014,1,9,13,0,268,52
2014,1,9,13,30,94,838
2014,1,9,14,0,257,252
2014,1,9,14,30,202,23
2014,1,9,15,0,151,0
2014,1,9,15,30,112,0
2014,1,9,16,0,71,645
2014,1,9,16,30,51,0
2014,1,9,17,0,45,364
2014,1,9,17,30,19,108
2014,1,9,18,0,0,0
2014,1,9,18,30,0,0
2014,1,9,19,0,0,0
2014,1,9,19,30,0,0
2014,1,9,20,0,0,0
2014,1,9,20,30,0,0
2014,1,9,21,0,0,0
2014,1,9,21,30,0,0
2014,1,9,22,0,0,0
2014,1,9,22,30,0,0
2014,1,9,23,0,0,0
2014,1,9,23,30,0,0
2014,1,10,0,0,0,0
2014,1,10,0,30,0,0
2014,1,10,1,0,0,0
2014,1,10,1,30,0,0
2014,1,10,2,0,0,0
2014,1,10,2,30,0,0
2014,1,10,3,0,0,0
2014,1,10,3,30,0,0
2014,1,10,4,0,0,0
2014,1,10,4,30,0,0
2014,1,10,5,0,0,0
2014,1,10,5,30,0,0
2014,1,10,6,0,0,0
2014,1,10,6,30,0,0
2014,1,10,7,0,0,0
2014,1,10,7,30,0,0
2014,1,10,8,0,42,121
2014,1,10,8,30,75,302
2014,1,10,9,0,88,0
2014,1,10,9,30,107,554
2014,1,10,10,0,93,703
2014,1,10,10,30,134,0
2014,1,10,11,0,191,9
2014,1,10,11,30,268,85
2014,1,10,12,0,197,6
2014,1,10,12,30,223,14
2014,1,10,13,0,282,78
2014,1,10,13,30,279,101
2014,1,10,14,0,222,25
2014,1,10,14,30,88,801
2014,1,10,15,0,82,773
2014,1,10,15,30,76,727
2014,1,10,16,0,71,649
2014,1,10,16,30,59,551
2014,1,10,17,0,43,403
2014,1,10,17,30,19,154
2014,1,10,18,0,0,0
2014,1,10,18,30,0,0
2014,1,10,19,0,0,0
2014,1,10,19,30,0,0
2014,1,10,20,0,0,0
2014,1,10,20,30,0,0
2014,1,10,21,0,0,0
2014,1,10,21,30,0,0
2014,1,10,22,0,0,0
2014,1,10,22,30,0,0
2014,1,10,23,0,0,0
2014,1,10,23,30,0,0
2014,1,11,0,0,0,0
2014,1,11,0,30,0,0
2014,1,11,1,0,0,0
2014,1,11,1,30,0,0
2014,1,11,2,0,0,0
2014,1,11,2,30,0,0
2014,1,11,3,0,0,0
2014,1,11,3,30,0,0
2014,1,11,4,0,0,0
2014,1,11,4,30,0,0
2014,1,11,5,0,0,0
2014,1,11,5,30,0,0
2014,1,11,6,0,0,0
2014,1,11,6,30,0,0
2014,1,11,7,0,0,0
2014,1,11,7,30,0,0
2014,1,11,8,0,1,0
2014,1,11,8,30,3,0
2014,1,11,9,0,39,0
2014,1,11,9,30,156,135
2014,1,11,10,0,45,0
2014,1,11,10,30,228,151
2014,1,11,11,0,109,0
2014,1,11,11,30,243,36
2014,1,11,12,0,287,101
2014,1,11,12,30,178,1
2014,1,11,13,0,296,144
2014,1,11,13,30,248,35
2014,1,11,14,0,262,238
2014,1,11,14,30,196,16
2014,1,11,15,0,207,86
2014,1,11,15,30,141,3
2014,1,11,16,0,72,0
2014,1,11,16,30,35,0
2014,1,11,17,0,18,0
2014,1,11,17,30,4,0
2014,1,11,18,0,0,0
2014,1,11,18,30,0,0
2014,1,11,19,0,0,0
2014,1,11,19,30,0,0
2014,1,11,20,0,0,0
2014,1,11,20,30,0,0
2014,1,11,21,0,0,0
2014,1,11,21,30,0,0
2014,1,11,22,0,0,0
2014,1,11,22,30,0,0
2014,1,11,23,0,0,0
2014,1,11,23,30,0,0
2014,1,12,0,0,0,0
2014,1,12,0,30,0,0
2014,1,12,1,0,0,0
2014,1,12,1,30,0,0
2014,1,12,2,0,0,0
2014,1,12,2,30,0,0
2014,1,12,3,0,0,0
2014,1,12,3,30,0,0
2014,1,12,4,0,0,0
2014,1,12,4,30,0,0
2014,1,12,5,0,0,0
2014,1,12,5,30,0,0
2014,1,12,6,0,0,0
2014,1,12,6,30,0,0
2014,1,12,7,0,0,0
2014,1,12,7,30,0,0
2014,1,12,8,0,27,529
2014,1,12,8,30,41,711
2014,1,12,9,0,49,820
2014,1,12,9,30,55,886
2014,1,12,10,0,57,935
2014,1,12,10,30,60,965
2014,1,12,11,0,61,988
2014,1,12,11,30,63,1001
2014,1,12,12,0,63,1009
2014,1,12,12,30,64,1012
2014,1,12,13,0,68,1004
2014,1,12,13,30,67,997
2014,1,12,14,0,66,984
2014,1,12,14,30,64,966
2014,1,12,15,0,61,938
2014,1,12,15,30,57,900
2014,1,12,16,0,52,846
2014,1,12,16,30,45,764
2014,1,12,17,0,35,628
2014,1,12,17,30,18,378
2014,1,12,18,0,0,0
2014,1,12,18,30,0,0
2014,1,12,19,0,0,0
2014,1,12,19,30,0,0
2014,1,12,20,0,0,0
2014,1,12,20,30,0,0
2014,1,12,21,0,0,0
2014,1,12,21,30,0,0
2014,1,12,22,0,0,0
2014,1,12,22,30,0,0
2014,1,12,23,0,0,0
2014,1,12,23,30,0,0
2014,1,13,0,0,0,0
2014,1,13,0,30,0,0
2014,1,13,1,0,0,0
2014,1,13,1,30,0,0
2014,1,13,2,0,0,0
2014,1,13,2,30,0,0
2014,1,13,3,0,0,0
2014,1,13,3,30,0,0
2014,1,13,4,0,0,0
2014,1,13,4,30,0,0
2014,1,13,5,0,0,0
2014,1,13,5,30,0,0
2014,1,13,6,0,0,0
2014,1,13,6,30,0,0
2014,1,13,7,0,0,0
2014,1,13,7,30,0,0
2014,1,13,8,0,36,51
2014,1,13,8,30,74,45
2014,1,13,9,0,106,290
2014,1,13,9,30,65,799
2014,1,13,10,0,106,651
2014,1,13,10,30,183,452
2014,1,13,11,0,84,889
2014,1,13,11,30,156,665
2014,1,13,12,0,157,693
2014,1,13,12,30,91,910
2014,1,13,13,0,175,649
2014,1,13,13,30,266,333
2014,1,13,14,0,228,422
2014,1,13,14,30,229,311
2014,1,13,15,0,189,360
2014,1,13,15,30,73,0
2014,1,13,16,0,131,254
2014,1,13,16,30,53,615
2014,1,13,17,0,47,425
2014,1,13,17,30,21,190
2014,1,13,18,0,0,0
2014,1,13,18,30,0,0
2014,1,13,19,0,0,0
2014,1,13,19,30,0,0
2014,1,13,20,0,0,0
2014,1,13,20,30,0,0
2014,1,13,21,0,0,0
2014,1,13,21,30,0,0
2014,1,13,22,0,0,0
2014,1,13,22,30,0,0
2014,1,13,23,0,0,0
2014,1,13,23,30,0,0
2014,1,14,0,0,0,0
2014,1,14,0,30,0,0
2014,1,14,1,0,0,0
2014,1,14,1,30,0,0
2014,1,14,2,0,0,0
2014,1,14,2,30,0,0
2014,1,14,3,0,0,0
2014,1,14,3,30,0,0
2014,1,14,4,0,0,0
2014,1,14,4,30,0,0
2014,1,14,5,0,0,0
2014,1,14,5,30,0,0
2014,1,14,6,0,0,0
2014,1,14,6,30,0,0
2014,1,14,7,0,0,0
2014,1,14,7,30,0,0
2014,1,14,8,0,14,0
2014,1,14,8,30,33,0
2014,1,14,9,0,14,0
2014,1,14,9,30,16,0
2014,1,14,10,0,24,0
2014,1,14,10,30,86,0
2014,1,14,11,0,48,0
2014,1,14,11,30,255,47
2014,1,14,12,0,114,0
2014,1,14,12,30,68,0
2014,1,14,13,0,274,348
2014,1,14,13,30,185,602
2014,1,14,14,0,185,563
2014,1,14,14,30,220,365
2014,1,14,15,0,73,865
2014,1,14,15,30,68,829
2014,1,14,16,0,61,782
2014,1,14,16,30,52,699
2014,1,14,17,0,39,572
2014,1,14,17,30,21,329
2014,1,14,18,0,0,0
2014,1,14,18,30,0,0
2014,1,14,19,0,0,0
2014,1,14,19,30,0,0
2014,1,14,20,0,0,0
2014,1,14,20,30,0,0
2014,1,14,21,0,0,0
2014,1,14,21,30,0,0
2014,1,14,22,0,0,0
2014,1,14,22,30,0,0
2014,1,14,23,0,0,0
2014,1,14,23,30,0,0
2014,1,15,0,0,0,0
2014,1,15,0,30,0,0
2014,1,15,1,0,0,0
2014,1,15,1,30,0,0
2014,1,15,2,0,0,0
2014,1,15,2,30,0,0
2014,1,15,3,0,0,0
2014,1,15,3,30,0,0
2014,1,15,4,0,0,0
2014,1,15,4,30,0,0
2014,1,15,5,0,0,0
2014,1,15,5,30,0,0
2014,1,15,6,0,0,0
2014,1,15,6,30,0,0
2014,1,15,7,0,0,0
